model,price,year,km,color,country
Model Y,50900.0,2024,5000,Gris/Plata,España
Model Y,50900.0,2024,5000,Gris/Plata,España
Model Y,43000.0,2023,36000,Gris/Plata,España
Model Y,37900.0,2023,43500,Gris/Plata,España
Model Y,49999.0,2023,57717,Gris/Plata,España
Model Y,40500.0,2022,62000,Negro,España
Model Y,36500.0,2024,10778,Negro,España
Model Y,35250.0,2022,36413,Negro,España
Model Y,44900.0,2023,89000,Negro,España
Model Y,34990.0,2022,28400,Negro,España
Model Y,40500.0,2022,62000,Negro,España
Model Y,35250.0,2022,36413,Negro,España
Model Y,33420.0,2021,96000,Rojo,España
Model S,42000.0,2020,58000,Azul,España
Model S,42000.0,2020,58000,Azul,España
Model S,35000.0,2017,220000,Azul,España
Model S,34900.0,2020,142000,Azul,España
Model S,25990.0,2015,98000,Azul,España
Model S,23900.0,2014,250000,Azul,España
Model S,24990.0,2016,155000,Azul,España
Model S,28999.0,2018,178000,Azul,España
Model S,38890.0,2019,89831,Azul,España
Model S,34500.0,2017,85000,Azul,España
Model S,41995.0,2018,60000,Azul,España
Model S,42900.0,2020,109900,Azul,España
Model S,39000.0,2019,109000,Azul,España
Model S,23000.0,2014,485000,Azul,España
Model Y,49995.0,2023,25700,Azul,España
Model Y,49995.0,2023,25700,Azul,España
Model Y,35475.0,2021,63000,Azul,España
Model Y,30000.0,2021,10200,Azul,España
Model 3,19990.0,2019,139000,Azul,España
Model 3,27990.0,2020,45063,Azul,España
Model 3,32890.0,2020,65090,Azul,España
Model 3,25750.0,2020,125000,Azul,España
Model 3,26500.0,2019,68000,Azul,España
Model 3,28490.0,2020,47479,Azul,España
Model 3,26490.0,2019,81803,Azul,España
Model 3,42500.0,2024,2490,Azul,España
Model 3,26500.0,2019,105000,Azul,España
Model 3,32890.0,2020,65090,Azul,España
Model 3,25990.0,2022,63000,Azul,España
Model 3,34990.0,2021,65000,Azul,España
Model 3,29000.0,2021,113800,Azul,España
Model 3,25850.0,2021,93000,Azul,España
Model 3,25850.0,2021,93000,Azul,España
Model 3,28990.0,2019,39413,Azul,España
Model 3,29790.0,2022,57671,Azul,España
Model 3,27950.0,2022,57000,Azul,España
Model 3,27950.0,2022,57000,Azul,España
Model 3,27850.0,2022,65000,Azul,España
Model 3,27850.0,2022,65000,Azul,España
Model 3,27850.0,2021,54000,Azul,España
Model 3,32900.0,2019,60400,Azul,España
Model 3,23500.0,2019,76000,Azul,España
Model 3,29700.0,2020,21318,Azul,España
Model 3,29990.0,2019,78000,Azul,España
Model 3,21500.0,2020,129446,Azul,España
Model 3,24000.0,2019,137183,Azul,España
Model 3,27490.0,2020,127000,Azul,España
Model 3,24999.0,2019,108000,Azul,España
Model 3,36500.0,2022,19700,Azul,España
Model 3,25940.0,2019,124839,Azul,España
Model 3,37990.0,2022,25000,Azul,España
Model 3,35500.0,2021,63000,Azul,España
Model 3,31900.0,2020,57000,Azul,España
Model 3,25000.0,2019,53000,Azul,España
Model 3,22999.0,2019,114000,Azul,España
Model 3,37900.0,2021,155000,Azul,España
Model 3,37000.0,2022,60000,Azul,España
Model 3,25000.0,2019,74000,Azul,España
Model 3,24000.0,2019,137183,Azul,España
Model 3,21499.0,2020,128500,Azul,España
Model x,34900.0,2017,240000,Azul,España
Model x,37900.0,2017,74000,Azul,España
Model x,34900.0,2017,240000,Azul,España
Model x,49999.0,2020,35000,Azul,España
Model x,40000.0,2019,175000,Azul,España
Model x,49990.0,2017,70000,Azul,España
Model x,49900.0,2020,38000,Azul,España
Model 3,38390.0,2023,55852,Gris,España
Model 3,36995.0,2023,10000,Gris,España
Model 3,21750.0,2019,98000,Gris,España
Model 3,36500.0,2021,46500,Gris,España
Model 3,37490.0,2021,58431,Gris,España
Model 3,32490.0,2019,23832,Gris,España
Model 3,32300.0,2022,49990,Gris,España
Model 3,36900.0,2021,59990,Gris,España
Model 3,36000.0,2022,55000,Gris,España
Model 3,34500.0,2019,109000,Gris,España
Model 3,27990.0,2020,97000,Gris,España
Model 3,27499.0,2022,107000,Gris,España
Model 3,29115.0,2021,69000,Gris,España
Model 3,27700.0,2019,84000,Gris,España
Model 3,34000.0,2022,54000,Gris,España
Model 3,35000.0,2021,65500,Gris,España
Model 3,30000.0,2020,145000,Gris,España
Model 3,28700.0,2022,90000,Gris,España
Model 3,32000.0,2020,70000,Gris,España
Model 3,28900.0,2019,145000,Gris,España
Model 3,34500.0,2020,70000,Gris,España
Model 3,31400.0,2019,60048,Negro,España
Model 3,31600.0,2022,15291,Negro,España
Model 3,33200.0,2021,79681,Rojo,España
Model 3,34100.0,2021,57523,Rojo,España
Model 3,34900.0,2021,76959,Negro,España
Model 3,35100.0,2023,39315,Blanco,España
Model 3,35300.0,2021,53081,Rojo,España
Model 3,35900.0,2021,63771,Gris/Plata,España
Model 3,35900.0,2021,26090,Rojo,España
Model 3,36300.0,2021,42191,Negro,España
Model 3,36700.0,2024,1817,Blanco,España
Model 3,37000.0,2024,21,Blanco,España
Model 3,37100.0,2022,30168,Rojo,España
Model 3,37300.0,2024,676,Blanco,España
Model 3,37500.0,2024,17,Blanco,España
Model 3,39600.0,2020,40205,Negro,España
Model 3,47700.0,2023,29445,Blanco,España
Model 3,50100.0,2023,18395,Rojo,España
Model Y,40500.0,2024,12146,Gris/Plata,España
Model Y,46800.0,2023,48582,Negro,España
