model,color,year,km,price
Model 3,Gris/Plata,2023,12,37.990
Model S,Blanco,2019,"116,000",36.999
Model S,Blanco,2017,"56,000",59.900
Model S,Blanco,2019,"116,000",36.999
Model S,Blanco,2017,"56,000",59.900
Model S,Blanco,2023,"13,000",84.900
Model S,Granate,2020,"76,800",55.900
Model S,Granate,2017,"61,000",37.000
Model S,Gris/Plata,2017,"159,000",29.990
Model S,Gris/Plata,2019,"37,500",46.500
Model S,Gris/Plata,2017,"211,000",29.500
Model S,Gris/Plata,2018,"94,000",39.900
Model S,Gris/Plata,2017,"159,000",29.990
Model S,Gris/Plata,2017,"49,000",45.000
Model S,Gris/Plata,2014,"140,000",25.990
Model S,Gris/Plata,2023,"39,980",78.990
Model S,Gris/Plata,2018,"79,000",39.900
Model S,Gris/Plata,2019,"37,500",46.500
Model S,Gris/Plata,2022,"15,000",79.900
Model S,Gris/Plata,2018,"40,000",47.900
Model S,Gris/Plata,2018,"134,000",26.900
Model S,Gris/Plata,2019,"37,500",46.500
Model S,Negro,2018,"96,553",34.610
Model S,Negro,2018,"96,553",34.610
Model S,Negro,2020,"66,056",56.990
Model S,Negro,2020,"94,000",51.990
Model S,Rojo,2017,"121,000",22.900
Model S,Rojo,2017,"184,000",24.900
Model S,Rojo,2019,"39,000",38.900
Model S,Rojo,2014,"233,000",21.990
Model S,Rojo,2023,"29,000",74.990
Model S,Rojo,2018,"148,000",35.500
Model S,Rojo,2018,"98,500",44.990
Model S,Rojo,2017,"195,000",23.700
Model S,Rojo,2014,"203,000",17.800
Model 3,Blanco,2022,"30,797",31.820
Model 3,Blanco,2019,"169,800",28.990
Model 3,Blanco,2020,"138,000",26.990
Model 3,Blanco,2020,"72,000",28.000
Model 3,Granate,2024,"16,700",44.900
Model 3,Granate,2024,"16,700",44.900
Model 3,Granate,2021,"86,300",29.990
Model 3,Gris/Plata,2019,"23,832",32.490
Model 3,Gris/Plata,2020,"95,000",26.900
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2020,"97,000",26.990
Model 3,Gris/Plata,2023,"55,852",38.390
Model 3,Gris/Plata,2022,"29,458",41.500
Model 3,Gris/Plata,2020,"38,000",26.890
Model 3,Gris/Plata,2020,"74,862",37.990
Model 3,Gris/Plata,2019,"135,000",19.990
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2023,"55,852",38.390
Model 3,Gris/Plata,2020,"128,000",24.850
Model 3,Negro,2021,"33,340",33.950
Model 3,Negro,2022,"44,580",35.500
Model 3,Negro,2021,"53,000",36.900
Model 3,Negro,2020,"99,000",21.999
Model 3,Negro,2019,"114,000",26.000
Model 3,Negro,2020,"166,000",26.990
Model 3,Negro,2021,"68,000",29.890
Model 3,Negro,2021,"32,000",36.900
Model 3,Negro,2019,"164,000",24.990
Model 3,Rojo,2020,"60,000",29.990
Model 3,Rojo,2020,"88,000",32.000
Model 3,Rojo,2019,"61,500",27.980
Model 3,Rojo,2020,"70,000",28.999
Model 3,Rojo,2019,"61,046",29.900
Model 3,Rojo,2020,"60,000",29.990
Model 3,Rojo,2019,"61,046",29.900
Model 3,Rojo,2022,"39,398",32.990
Model 3,Rojo,2020,"49,990",26.490
Model 3,Rojo,2019,"127,150",27.000
Model X,Blanco,2020,"34,162",58.790
Model X,Blanco,2019,"85,000",54.990
Model X,Blanco,2019,"85,000",55.990
Model X,Blanco,2020,"34,162",58.790
Model X,Gris/Plata,2017,"99,000",34.990
Model X,Gris/Plata,2021,"58,000",54.900
Model X,Gris/Plata,2017,"35,000",41.000
Model X,Gris/Plata,2023,"17,000",82.900
Model X,Gris/Plata,2023,"17,000",82.900
Model X,Gris/Plata,2018,"55,000",34.890
Model X,Gris/Plata,2019,"80,000",51.000
Model X,Gris/Plata,2021,"58,000",54.900
Model X,Negro,2023,"10,000",84.900
Model X,Negro,2019,"117,000",47.500
Model X,Negro,2019,"54,500",59.900
Model X,Negro,2018,"83,000",48.000
Model X,Negro,2018,"219,000",33.900
Model X,Negro,2018,"165,000",42.900
Model X,Negro,2017,"129,200",44.900
Model X,Negro,2019,"79,000",37.500
Model X,Negro,2018,"43,815",56.890
Model X,Negro,2018,"43,815",56.890
Model X,Negro,2017,"82,000",35.000
Model X,Negro,2018,"119,000",57.995
Model X,Negro,2020,"145,000",54.900
Model X,Negro,2020,"180,000",41.990
Model X,Negro,2018,"88,281",49.995
Model X,Negro,2017,"90,900",36.900
Model X,Negro,2023,"10,000",89.900
Model X,Negro,2017,"200,000",31.900
Model X,Negro,2017,"133,500",49.900
Model X,Negro,2019,"114,000",40.900
Model X,Negro,2019,"120,000",55.000
Model X,Negro,2017,"90,000",49.950
Model X,Rojo,2020,"93,000",54.900
Model X,Rojo,2020,"93,000",54.900
Model X,Rojo,2017,"130,000",38.500
Model Y,Blanco,2022,"72,000",31.400
Model Y,Blanco,2023,"45,000",42.900
Model Y,Blanco,2023,"46,686",39.900
Model Y,Blanco,2022,"51,900",41.900
Model Y,Blanco,2024,"7,925",46.990
Model Y,Blanco,2023,"45,000",33.500
Model Y,Blanco,2024,"7,925",46.990
Model Y,Blanco,2024,"7,925",46.990
Model Y,Blanco,2023,"25,000",39.000
Model Y,Blanco,2024,"3,500",47.000
Model Y,Blanco,2023,"3,200",14.900
Model Y,Blanco,2023,"29,000",35.250
Model Y,Blanco,2022,"29,000",34.300
Model Y,Blanco,2023,"85,000",39.990
Model Y,Blanco,2021,"48,000",39.850
Model Y,Blanco,2023,"20,200",40.300
Model Y,Blanco,2023,"69,200",38.900
Model Y,Blanco,2023,"41,146",36.000
Model Y,Blanco,2022,"33,000",46.000
Model Y,Blanco,2022,"72,000",31.400
Model Y,Blanco,2024,"29,000",34.500
Model Y,Blanco,2022,"27,200",34.997
Model Y,Blanco,2023,"35,000",34.990
Model Y,Blanco,2022,"69,000",34.900
Model Y,Blanco,2022,"29,000",36.200
Model Y,Blanco,2023,"38,000",39.990
Model Y,Blanco,2024,"2,500",50.900
Model Y,Blanco,2024,"2,200",50.900
Model Y,Blanco,2022,"33,500",48.000
Model Y,Blanco,2023,"41,000",36.000
Model Y,Gris/Plata,2024,"5,000",50.900
Model Y,Gris/Plata,2024,"5,000",50.900
Model Y,Gris/Plata,2023,"36,000",43.000
Model Y,Gris/Plata,2023,"43,500",37.900
Model Y,Gris/Plata,2023,"57,717",49.999
Model Y,Negro,2022,"62,000",40.500
Model Y,Negro,2024,"10,778",36.500
Model Y,Negro,2022,"36,413",35.250
Model Y,Negro,2023,"89,000",44.900
Model Y,Negro,2022,"28,400",34.990
Model Y,Negro,2022,"62,000",40.500
Model Y,Negro,2022,"36,413",35.250
Model Y,Rojo,2021,"96,000",33.420
Model S,Azul,2020,"58,000",42.000
Model S,Azul,2020,"58,000",42.000
Model S,Azul,2017,"220,000",35.000
Model S,Azul,2020,"142,000",34.900
Model S,Azul,2015,"98,000",25.990
Model S,Azul,2014,"250,000",23.900
Model S,Azul,2016,"155,000",24.990
Model S,Azul,2018,"178,000",28.999
Model S,Azul,2019,"89,831",38.890
Model S,Azul,2017,"85,000",34.500
Model S,Azul,2018,"60,000",41.995
Model S,Azul,2020,"109,900",42.900
Model S,Azul,2019,"109,000",39.000
Model S,Azul,2014,"485,000",23.000
Model Y,Azul,2023,"25,700",49.995
Model Y,Azul,2023,"25,700",49.995
Model Y,Azul,2021,"63,000",35.475
Model Y,Azul,2021,"10,200",30.000
Model 3,Azul,2019,"139,000",19.990
Model 3,Azul,2020,"45,063",27.990
Model 3,Azul,2020,"65,090",32.890
Model 3,Azul,2020,"125,000",25.750
Model 3,Azul,2019,"68,000",26.500
Model 3,Azul,2020,"47,479",28.490
Model 3,Azul,2019,"81,803",26.490
Model 3,Azul,2024,"2,490",42.500
Model 3,Azul,2019,"105,000",26.500
Model 3,Azul,2020,"65,090",32.890
Model 3,Azul,2022,"63,000",25.990
Model 3,Azul,2021,"65,000",34.990
Model 3,Azul,2021,"113,800",29.000
Model 3,Azul,2021,"93,000",25.850
Model 3,Azul,2021,"93,000",25.850
Model 3,Azul,2019,"39,413",28.990
Model 3,Azul,2022,"57,671",29.790
Model 3,Azul,2022,"57,000",27.950
Model 3,Azul,2022,"57,000",27.950
Model 3,Azul,2022,"65,000",27.850
Model 3,Azul,2022,"65,000",27.850
Model 3,Azul,2021,"54,000",27.850
Model 3,Azul,2019,"60,400",32.900
Model 3,Azul,2019,"76,000",23.500
Model 3,Azul,2020,"21,318",29.700
Model 3,Azul,2019,"78,000",29.990
Model 3,Azul,2020,"129,446",21.500
Model 3,Azul,2019,"137,183",24.000
Model 3,Azul,2020,"127,000",27.490
Model 3,Azul,2019,"108,000",24.999
Model 3,Azul,2022,"19,700",36.500
Model 3,Azul,2019,"124,839",25.940
Model 3,Azul,2022,"25,000",37.990
Model 3,Azul,2021,"63,000",35.500
Model 3,Azul,2020,"57,000",31.900
Model 3,Azul,2019,"53,000",25.000
Model 3,Azul,2019,"114,000",22.999
Model 3,Azul,2021,"155,000",37.900
Model 3,Azul,2022,"60,000",37.000
Model 3,Azul,2019,"74,000",25.000
Model 3,Azul,2019,"137,183",24.000
Model 3,Azul,2020,"128,500",21.499
Model X,Azul,2017,"240,000",34.900
Model X,Azul,2017,"74,000",37.900
Model X,Azul,2017,"240,000",34.900
Model X,Azul,2020,"35,000",49.999
Model X,Azul,2019,"175,000",40.000
Model X,Azul,2017,"70,000",49.990
Model X,Azul,2020,"38,000",49.900
Model S,Blanco,2019,"116,000",36.999
Model S,Blanco,2017,"56,000",59.900
Model S,Blanco,2019,"116,000",36.999
Model S,Blanco,2017,"56,000",59.900
Model S,Blanco,2023,"13,000",84.900
Model S,Blanco,2023,"16,000",89.900
Model S,Blanco,2020,"52,000",55.900
Model S,Blanco,2020,"84,000",65.000
Model S,Blanco,2020,"127,000",39.000
Model S,Blanco,2017,"258,000",25.000
Model S,Blanco,2017,"260,000",25.999
Model S,Blanco,2020,"110,000",40.500
Model S,Blanco,2015,"292,785",21.500
Model S,Granate,2020,"76,800",55.900
Model S,Granate,2017,"61,000",37.000
Model S,Gris/Plata,2017,"211,000",29.500
Model S,Gris/Plata,2017,"159,000",29.990
Model S,Gris/Plata,2019,"37,500",46.500
Model S,Gris/Plata,2018,"94,000",39.900
Model S,Gris/Plata,2017,"159,000",29.990
Model S,Gris/Plata,2017,"49,000",45.000
Model S,Gris/Plata,2014,"140,000",25.990
Model S,Gris/Plata,2023,"39,980",78.990
Model S,Gris/Plata,2018,"79,000",39.900
Model S,Negro,2018,"96,553",34.610
Model S,Negro,2020,"66,056",56.990
Model S,Negro,2020,"94,000",51.990
Model S,Negro,2018,"96,553",34.610
Model S,Rojo,2017,"121,000",22.900
Model S,Rojo,2017,"184,000",24.900
Model S,Rojo,2019,"39,000",38.900
Model S,Rojo,2014,"233,000",21.990
Model 3,Blanco,2020,"99,000",22.999
Model 3,Blanco,2020,"72,000",28.000
Model 3,Blanco,2021,"47,566",33.200
Model 3,Blanco,2022,"57,525",33.998
Model 3,Blanco,2022,"65,672",31.900
Model 3,Blanco,2021,"63,776",32.990
Model 3,Blanco,2023,"9,500",39.999
Model 3,Granate,2024,"16,700",44.900
Model 3,Granate,2024,"16,700",44.900
Model 3,Granate,2021,"86,300",29.990
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2020,"28,650",24.860
Model 3,Gris/Plata,2023,"55,852",38.390
Model 3,Gris/Plata,2019,"23,832",32.490
Model 3,Gris/Plata,2022,"29,458",41.500
Model 3,Gris/Plata,2020,"38,000",26.890
Model 3,Gris/Plata,2020,"74,862",37.990
Model 3,Gris/Plata,2019,"135,000",19.990
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2023,12,37.990
Model S,Blanco,2019,"116,000",36.999
Model S,Blanco,2017,"56,000",59.900
Model S,Blanco,2019,"116,000",36.999
Model S,Blanco,2017,"56,000",59.900
Model S,Blanco,2023,"13,000",84.900
Model S,Granate,2020,"76,800",55.900
Model S,Granate,2017,"61,000",37.000
Model S,Gris/Plata,2017,"159,000",29.990
Model S,Gris/Plata,2019,"37,500",46.500
Model S,Gris/Plata,2017,"211,000",29.500
Model S,Gris/Plata,2018,"94,000",39.900
Model S,Gris/Plata,2017,"159,000",29.990
Model S,Gris/Plata,2017,"49,000",45.000
Model S,Gris/Plata,2014,"140,000",25.990
Model S,Gris/Plata,2023,"39,980",78.990
Model S,Gris/Plata,2018,"79,000",39.900
Model S,Gris/Plata,2019,"37,500",46.500
Model S,Gris/Plata,2022,"15,000",79.900
Model S,Gris/Plata,2018,"40,000",47.900
Model S,Gris/Plata,2018,"134,000",26.900
Model S,Gris/Plata,2019,"37,500",46.500
Model S,Negro,2018,"96,553",34.610
Model S,Negro,2018,"96,553",34.610
Model S,Negro,2020,"66,056",56.990
Model S,Negro,2020,"94,000",51.990
Model S,Rojo,2017,"121,000",22.900
Model S,Rojo,2017,"184,000",24.900
Model S,Rojo,2019,"39,000",38.900
Model S,Rojo,2014,"233,000",21.990
Model S,Rojo,2023,"29,000",74.990
Model S,Rojo,2018,"148,000",35.500
Model S,Rojo,2018,"98,500",44.990
Model S,Rojo,2017,"195,000",23.700
Model S,Rojo,2014,"203,000",17.800
Model 3,Blanco,2022,"30,797",31.820
Model 3,Blanco,2019,"169,800",28.990
Model 3,Blanco,2020,"138,000",26.990
Model 3,Blanco,2020,"72,000",28.000
Model 3,Granate,2024,"16,700",44.900
Model 3,Granate,2024,"16,700",44.900
Model 3,Granate,2021,"86,300",29.990
Model 3,Gris/Plata,2019,"23,832",32.490
Model 3,Gris/Plata,2020,"95,000",26.900
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2020,"97,000",26.990
Model 3,Gris/Plata,2023,"55,852",38.390
Model 3,Gris/Plata,2022,"29,458",41.500
Model 3,Gris/Plata,2020,"38,000",26.890
Model 3,Gris/Plata,2020,"74,862",37.990
Model 3,Gris/Plata,2019,"135,000",19.990
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2023,12,37.990
Model 3,Gris/Plata,2023,"55,852",38.390
Model 3,Gris/Plata,2020,"128,000",24.850
Model 3,Negro,2021,"33,340",33.950
Model 3,Negro,2022,"44,580",35.500
Model 3,Negro,2021,"53,000",36.900
Model 3,Negro,2020,"99,000",21.999
Model 3,Negro,2019,"114,000",26.000
Model 3,Negro,2020,"166,000",26.990
Model 3,Negro,2021,"68,000",29.890
Model 3,Negro,2021,"32,000",36.900
Model 3,Negro,2019,"164,000",24.990
Model 3,Rojo,2020,"60,000",29.990
Model 3,Rojo,2020,"88,000",32.000
Model 3,Rojo,2019,"61,500",27.980
Model 3,Rojo,2020,"70,000",28.999
Model 3,Rojo,2019,"61,046",29.900
Model 3,Rojo,2020,"60,000",29.990
Model 3,Rojo,2019,"61,046",29.900
Model 3,Rojo,2022,"39,398",32.990
Model 3,Rojo,2020,"49,990",26.490
Model 3,Rojo,2019,"127,150",27.000
Model X,Blanco,2020,"34,162",58.790
Model X,Blanco,2019,"85,000",54.990
Model X,Blanco,2019,"85,000",55.990
Model X,Blanco,2020,"34,162",58.790
Model X,Gris/Plata,2017,"99,000",34.990
Model X,Gris/Plata,2021,"58,000",54.900
Model X,Gris/Plata,2017,"35,000",41.000
Model X,Gris/Plata,2023,"17,000",82.900
Model X,Gris/Plata,2023,"17,000",82.900
Model X,Gris/Plata,2018,"55,000",34.890
Model X,Gris/Plata,2019,"80,000",51.000
Model X,Gris/Plata,2021,"58,000",54.900
Model X,Negro,2023,"10,000",84.900
Model X,Negro,2019,"117,000",47.500
Model X,Negro,2019,"54,500",59.900
Model X,Negro,2018,"83,000",48.000
Model X,Negro,2018,"219,000",33.900
Model X,Negro,2018,"165,000",42.900
Model X,Negro,2017,"129,200",44.900
Model X,Negro,2019,"79,000",37.500
Model X,Negro,2018,"43,815",56.890
Model X,Negro,2018,"43,815",56.890
Model X,Negro,2017,"82,000",35.000
Model X,Negro,2018,"119,000",57.995
Model X,Negro,2020,"145,000",54.900
Model X,Negro,2020,"180,000",41.990
Model X,Negro,2018,"88,281",49.995
Model X,Negro,2017,"90,900",36.900
Model X,Negro,2023,"10,000",89.900
Model X,Negro,2017,"200,000",31.900
Model X,Negro,2017,"133,500",49.900
Model X,Negro,2019,"114,000",40.900
Model X,Negro,2019,"120,000",55.000
Model X,Negro,2017,"90,000",49.950
Model X,Rojo,2020,"93,000",54.900
Model X,Rojo,2020,"93,000",54.900
Model X,Rojo,2017,"130,000",38.500
Model Y,Blanco,2022,"72,000",31.400
Model Y,Blanco,2023,"45,000",42.900
Model Y,Blanco,2023,"46,686",39.900
Model Y,Blanco,2022,"51,900",41.900
Model Y,Blanco,2024,"7,925",46.990
Model Y,Blanco,2023,"45,000",33.500
Model Y,Blanco,2024,"7,925",46.990
Model Y,Blanco,2024,"7,925",46.990
Model Y,Blanco,2023,"25,000",39.000
Model Y,Blanco,2024,"3,500",47.000
Model Y,Blanco,2023,"3,200",14.900
Model Y,Blanco,2023,"29,000",35.250
Model Y,Blanco,2022,"29,000",34.300
Model Y,Blanco,2023,"85,000",39.990
Model Y,Blanco,2021,"48,000",39.850
Model Y,Blanco,2023,"20,200",40.300
Model Y,Blanco,2023,"69,200",38.900
Model Y,Blanco,2023,"41,146",36.000
Model Y,Blanco,2022,"33,000",46.000
Model Y,Blanco,2022,"72,000",31.400
Model Y,Blanco,2024,"29,000",34.500
Model Y,Blanco,2022,"27,200",34.997
Model Y,Blanco,2023,"35,000",34.990
Model Y,Blanco,2022,"69,000",34.900
Model Y,Blanco,2022,"29,000",36.200
Model Y,Blanco,2023,"38,000",39.990
Model Y,Blanco,2024,"2,500",50.900
Model Y,Blanco,2024,"2,200",50.900
Model Y,Blanco,2022,"33,500",48.000
Model Y,Blanco,2023,"41,000",36.000
Model Y,Gris/Plata,2024,"5,000",50.900
Model Y,Gris/Plata,2024,"5,000",50.900
Model Y,Gris/Plata,2023,"36,000",43.000
Model Y,Gris/Plata,2023,"43,500",37.900
Model Y,Gris/Plata,2023,"57,717",49.999
Model Y,Negro,2022,"62,000",40.500
Model Y,Negro,2024,"10,778",36.500
Model Y,Negro,2022,"36,413",35.250
Model Y,Negro,2023,"89,000",44.900
Model Y,Negro,2022,"28,400",34.990
Model Y,Negro,2022,"62,000",40.500
Model Y,Negro,2022,"36,413",35.250
Model Y,Rojo,2021,"96,000",33.420
Model S,Azul,2020,"58,000",42.000
Model S,Azul,2020,"58,000",42.000
Model S,Azul,2017,"220,000",35.000
Model S,Azul,2020,"142,000",34.900
Model S,Azul,2015,"98,000",25.990
Model S,Azul,2014,"250,000",23.900
Model S,Azul,2016,"155,000",24.990
Model S,Azul,2018,"178,000",28.999
Model S,Azul,2019,"89,831",38.890
Model S,Azul,2017,"85,000",34.500
Model S,Azul,2018,"60,000",41.995
Model S,Azul,2020,"109,900",42.900
Model S,Azul,2019,"109,000",39.000
Model S,Azul,2014,"485,000",23.000
Model Y,Azul,2023,"25,700",49.995
Model Y,Azul,2023,"25,700",49.995
Model Y,Azul,2021,"63,000",35.475
Model Y,Azul,2021,"10,200",30.000
Model 3,Azul,2019,"139,000",19.990
Model 3,Azul,2020,"45,063",27.990
Model 3,Azul,2020,"65,090",32.890
Model 3,Azul,2020,"125,000",25.750
Model 3,Azul,2019,"68,000",26.500
Model 3,Azul,2020,"47,479",28.490
Model 3,Azul,2019,"81,803",26.490
Model 3,Azul,2024,"2,490",42.500
Model 3,Azul,2019,"105,000",26.500
Model 3,Azul,2020,"65,090",32.890
Model 3,Azul,2022,"63,000",25.990
Model 3,Azul,2021,"65,000",34.990
Model 3,Azul,2021,"113,800",29.000
Model 3,Azul,2021,"93,000",25.850
Model 3,Azul,2021,"93,000",25.850
Model 3,Azul,2019,"39,413",28.990
Model 3,Azul,2022,"57,671",29.790
Model 3,Azul,2022,"57,000",27.950
Model 3,Azul,2022,"57,000",27.950
Model 3,Azul,2022,"65,000",27.850
Model 3,Azul,2022,"65,000",27.850
Model 3,Azul,2021,"54,000",27.850
Model 3,Azul,2019,"60,400",32.900
Model 3,Azul,2019,"76,000",23.500
Model 3,Azul,2020,"21,318",29.700
Model 3,Azul,2019,"78,000",29.990
Model 3,Azul,2020,"129,446",21.500
Model 3,Azul,2019,"137,183",24.000
Model 3,Azul,2020,"127,000",27.490
Model 3,Azul,2019,"108,000",24.999
Model 3,Azul,2022,"19,700",36.500
Model 3,Azul,2019,"124,839",25.940
Model 3,Azul,2022,"25,000",37.990
Model 3,Azul,2021,"63,000",35.500
Model 3,Azul,2020,"57,000",31.900
Model 3,Azul,2019,"53,000",25.000
Model 3,Azul,2019,"114,000",22.999
Model 3,Azul,2021,"155,000",37.900
Model 3,Azul,2022,"60,000",37.000
Model 3,Azul,2019,"74,000",25.000
Model 3,Azul,2019,"137,183",24.000
Model 3,Azul,2020,"128,500",21.499
Model X,Azul,2017,"240,000",34.900
Model X,Azul,2017,"74,000",37.900
Model X,Azul,2017,"240,000",34.900
Model X,Azul,2020,"35,000",49.999
Model X,Azul,2019,"175,000",40.000
Model X,Azul,2017,"70,000",49.990
Model X,Azul,2020,"38,000",49.900
Model 3,Gris,2023,"55,852",38.390
Model 3,Gris,2023,"10,000",36.995
Model 3,Gris,2019,"98,000",21.750
Model 3,Gris,2021,"46,500",36.500
Model 3,Gris,2021,"58,431",37.490
Model 3,Gris,2019,"23,832",32.490
Model 3,Gris,2022,"49,990",32.300
Model 3,Gris,2021,"59,990",36.900
Model 3,Gris,2022,"55,000",36.000
Model 3,Gris,2019,"109,000",34.500
Model 3,Gris,2020,"97,000",27.990
Model 3,Gris,2022,"107,000",27.499
Model 3,Gris,2021,"69,000",29.115
Model 3,Gris,2019,"84,000",27.700
Model 3,Gris,2022,"54,000",34.000
Model 3,Gris,2021,"65,500",35.000
Model 3,Gris,2020,"145,000",30.000
Model 3,Gris,2022,"90,000",28.700
Model 3,Gris,2020,"70,000",32.000
Model 3,Gris,2019,"145,000",28.900
Model 3,Gris,2020,"70,000",34.500
Model 3,Negro,2019,60.048,31.400
Model 3,Negro,2022,15.291,31.600
Model 3,Rojo,2021,79.681,33.200
Model 3,Rojo,2021,57.523,34.100
Model 3,Negro,2021,76.959,34.900
Model 3,Blanco,2023,39.315,35.100
Model 3,Rojo,2021,53.081,35.300
Model 3,Gris/Plata,2021,63.771,35.900
Model 3,Rojo,2021,26.090,35.900
Model 3,Negro,2021,42.191,36.300
Model 3,Blanco,2024,1817,36.700
Model 3,Blanco,2024,21,37.000
Model 3,Rojo,2022,30.168,37.100
Model 3,Blanco,2024,676,37.300
Model 3,Blanco,2024,17,37.500
Model 3,Negro,2020,40.205,39.600
Model 3,,2024,15.795,46.500
Model 3,Blanco,2023,29.445,47.700
Model 3,Rojo,2023,18.395,50.100
Model S,,2018,117.457,29.100
Model S,Negro,2018,70.615,33.500
Model S,Negro,2018,68.303,34.200
Model S,Blanco,2023,13.184,79.500
Model S,Negro,2023,12.410,80.600
Model S,Blanco,2023,36.085,81.700
Model S,Negro,2023,8276,83.500
Model S,Blanco,2023,6301,84.400
Model S,Rojo,2023,3269,86.500
Model S,Blanco,2023,15.040,87.400
Model X,Azul,2018,108.045,52.000
Model X,Blanco,2023,15.048,83.500
Model X,Negro,2023,20.811,84.000
Model X,Negro,2023,11.765,84.500
Model X,Negro,2023,16.910,84.500
Model X,Gris/Plata,2023,21.476,86.500
Model X,Blanco,2023,20.074,87.600
Model Y,Gris/Plata,2024,12.146,40.500
Model Y,Negro,2023,48.582,46.800
