model,color,name,year,km,price
Model Y,Negro,TESLA Model Y Gran Autonomia 4WD,2022,"62,000",40.500 €
Model Y,Negro,TESLA Model Y Traccion Trasera RWD,2024,"10,778",36.500 €
Model Y,Negro,TESLA Model Y Traccion Trasera RWD,2022,"36,413",35.250 €
Model Y,Negro,TESLA Model Y Gran Autonomia 4WD,2023,"89,000",44.900 €
Model Y,Negro,TESLA Model Y Traccion Trasera RWD,2022,"28,400",34.990 €
Model Y,Negro,TESLA Model Y Gran Autonomia 4WD,2022,"62,000",40.500 €
Model Y,Negro,TESLA Model Y Traccion Trasera RWD,2022,"36,413",35.250 €
Model Y,Rojo,TESLA Model Y Gran Autonomia Traccion Trasera RWD,2021,"96,000",33.420 €
Model S,Azul,TESLA Model S Gran Autonomia 4WD,2020,"58,000",42.000 €
Model S,Azul,TESLA Model S Gran Autonomia 4WD,2020,"58,000",42.000 €
Model S,Azul,TESLA Model S P100D 4WD,2017,"220,000",35.000 €
Model S,Azul,TESLA Model S Autonomia Estandar 4WD,2020,"142,000",34.900 €
Model S,Azul,TESLA Model S 90D 4WD,2015,"98,000",25.990 €
Model S,Azul,TESLA Model S 90D 4WD,2014,"250,000",23.900 €
Model S,Azul,TESLA Model S 75,2016,"155,000",24.990 €
Model S,Azul,TESLA Model S 100D 4WD,2018,"178,000",28.999 €
Model S,Azul,TESLA Model S 75D 4WD,2019,"89,831",38.890 €
Model S,Azul,TESLA Model S 100D 4WD,2017,"85,000",34.500 €
Model S,Azul,TESLA Model S 75D 4WD,2018,"60,000",41.995 €
Model S,Azul,TESLA Model S Gran Autonomia 4WD,2020,"109,900",42.900 €
Model S,Azul,TESLA Model S 75D 4WD 5p.,2019,"109,000",39.000 €
Model S,Azul,TESLA Model S,2014,"485,000",23.000 €
Model Y,Azul,TESLA Model Y Performance 4WD,2023,"25,700",49.995 €
Model Y,Azul,TESLA Model Y Performance 4WD,2023,"25,700",49.995 €
Model Y,Azul,TESLA Model Y Gran Autonomia 4WD,2021,"63,000",35.475 €
Model Y,Azul,TESLA Model Y,2021,"10,200",30.000 €
Model 3,Azul,TESLA Model 3 Estandar Plus RWD,2019,"139,000",19.990 €
Model 3,Azul,TESLA Model 3 Estandar Plus RWD,2020,"45,063",27.990 €
